Jaar,Kwartaal,date_time,Nieuwbouw (aantal woongelegenheden),Verbouwen_or_hergebruik (aantal woongelegenheden),Sloop (aantal gebouwen),Aandeel_meergezinswoning
2018,Q1,2018-01-01,7457,4748,2023,0.561
2018,Q2,2018-04-01,14797,7364,3517,0.6129
2018,Q3,2018-07-01,15324,6762,3228,0.6408
2018,Q4,2018-10-01,20225,8070,4398,0.6135
2019,Q1,2019-01-01,14082,6931,3651,0.5911
2019,Q2,2019-04-01,16838,8470,4123,0.589
2019,Q3,2019-07-01,17429,6987,4417,0.6047
2019,Q4,2019-10-01,25427,9921,5665,0.6106
2020,Q1,2020-01-01,11643,8235,4179,0.5636
2020,Q2,2020-04-01,15005,8616,4632,0.5933
2020,Q3,2020-07-01,16362,8810,4724,0.6107
2020,Q4,2020-10-01,22797,10481,6331,0.5711
2021,Q1,2021-01-01,11158,9904,4633,0.4997
2021,Q2,2021-04-01,16335,10557,5698,0.5385
2021,Q3,2021-07-01,15041,8345,4859,0.5683
2021,Q4,2021-10-01,21462,10398,6527,0.5548
2022,Q1,2022-01-01,10426,7569,4238,0.5107
2022,Q2,2022-04-01,14177,9482,5312,0.5467
2022,Q3,2022-07-01,14299,8736,4584,0.5804
2022,Q4,2022-10-01,19611,9567,6039,0.5729
2023,Q1,2023-01-01,9917,9059,4169,0.5472
2023,Q2,2023-04-01,12423,9372,4895,0.5372
2023,Q3,2023-07-01,14937,10229,5102,0.609
2023,Q4,2023-10-01,12323,9941,4755,0.5852
2024,Q1,2024-01-01,10245,8912,4132,0.571
2024,Q2,2024-04-01,10009,9184,4992,0.5457
2024,Q3,2024-07-01,11243,8971,4466,0.5952
2024,Q4,2024-10-01,3560,3089,1416,0.574
